date sleep_start sleep_end sleep_quality ease_of_working misc_data
12/18/23 12:00am 2:50am 3 4,3 "timezone:cst;workplace:chicagohome;secondwind:35 essaywriting"
12/18/23 11:00am 3:00pm 2 0 "exercise:3:35pm 30 run"
12/19/23 11:00pm 1:50am 3,2 3 "unintendedwake: 1:20am;secondwind:videogame[during 5-min breaks, play ~3 min CR with a quick beatdown deck (to not drag match out), then watch ~1.5 min motivational video]"
12/19/23 5:00am 12:00pm 4,3 3 ""
12/19/23 6:35pm 7:45pm 2,1 3,2 "trans:mx;strategy:supplementarynap;secondwind:callfriend no[no answer, but still helps with getting started],ambientmusic[51:00 Sovietwave Livestream sounds really operatic and nice];unintended:265 videogame"
12/20/23 7:15am 10:50am 5 2 ""
12/20/23 1:05pm 3:20pm 4 3,2 "exercise:7:25pm 50 swim"
12/21/23 2:35am 10:00am 4 4 "trans:herbaltea;secondwind:25 essaywriting;antisleep:2 blacktea"
12/21/23 2:15pm 2:40pm 2,3 3 "secondwind:15 essaywriting;6:10pm 25 run"
12/21/23 8:00pm 10:55pm 2,3 3 "strategy:supplementarynap;antisleep:2 greentea;secondwind:texting,watchvideo,myquotes"
12/22/23 6:30am 10:05am 4 2 "unintendedtrans:wanted 4:30am sleep"
12/22/23 2:05pm 2:35pm 1 1 ""
12/22/23 6:00pm 7:00pm 4 2 "antisleep:300 videogame"
12/23/23 4:30am 11:40am 4 3,4 "event:went to Bearology for 2nd time, with Chris;antisleep:coffee[from Bearology];secondwind:coding,blacktea;unintended:60 videogame;exercise:9:45pm 20 hiit[strategy of having an exercise session in reserve as a motivation to end an unintended game session. Can listen to an enjoyable One Piece podcast (tempting)]"
12/24/23 3:30pm 8:30am 3 3 "unintendedwake:noalarm;antisleep:blacktea"
12/24/23 1:05pm 2:35pm 2,1 0 "exercise:2:35pm 25 run;trans:mx"
12/24/23 9:30pm 12:00am 3 3 "antisleep:conversation,texting,essaywriting;trans:videogame"
12/25/23 6:00am 12:00pm 1,3 0 ""
12/26/23 12:45am 4:10am 3 0 ""
12/26/23 7:30am 12:40pm 1,3 3 "secondwind:flow[even writing as a hobby feels like work sometimes, where I need to have pomodoros, etc. Use the strategy of pushing through till you get into flow]"
12/27/23 4:15am 11:10am 3 0 "unintendedwake:9:15am 45"
